cluster,omset,laba,aset,total_tenaga_kerja,umur_usaha,rasio_laba_omset,top_jenis_usaha,top_jenis_count,cluster_size,top_jenis_share
0,6193531.402108434,-3086261.9588926174,6910242.316779533,98.31044776119403,12.733333333333333,-1.1099925884415993,Pendidikan,342,1340,0.25522388059701495
1,27677628.504722793,22621489.879959308,5067432.388237713,97.94242115971515,12.896445448941853,0.7472272062410451,Perdagangan,1241,4915,0.25249237029501526
2,27948940.068879668,22873845.25933525,5031818.40852649,98.15895124948791,13.110053785684734,0.7468519315920539,Jasa,630,2441,0.2580909463334699
3,27500091.224605422,22497027.553557154,5003464.430237234,97.90055910543131,13.055331179321486,0.7466654695629756,Jasa,637,2504,0.2543929712460064
4,27608564.979948804,22493302.762388818,5019740.440911044,96.60617597292725,13.030756087142247,0.7477049979040526,Perdagangan,620,2364,0.2622673434856176
